Ground_Truth;7.076923077;2.384615385;10.15384615;15.69230769;12.15384615;20.53846154;14.92307692;3.230769231;14.69230769;17.76923077;12;17.30769231;10.53846154;2;12.92307692;20.92307692;13.69230769;20.46153846;3.076923077;10.92307692;15.53846154;10.23076923;14.84615385
OPPO;3.461538462;1.076923077;6.307692308;17.53846154;15.07692308;23.76923077;14.61538462;1.461538462;10.23076923;16.61538462;12.53846154;20.84615385;7.923076923;1;8.461538462;19;14.23076923;21.38461538;1;10.61538462;11.53846154;10.61538462;18.46153846
KAMIN;2.923076923;1;5.769230769;15;11.61538462;22.38461538;6.153846154;1.153846154;7.615384615;12.15384615;8.769230769;17;3.769230769;1.307692308;7.307692308;15.76923077;11.30769231;21.53846154;1.230769231;6.692307692;9.923076923;9.461538462;15.92307692
CLUST;5.846153846;1.307692308;7.769230769;15.76923077;10.38461538;22.07692308;9.307692308;1.461538462;11.07692308;13.61538462;10.84615385;17.38461538;5.076923077;1;7.846153846;17.84615385;10.92307692;20.84615385;1;8.153846154;10.38461538;8.230769231;15.46153846
KIM;7.538461538;2.384615385;10.30769231;16.23076923;12.15384615;20.84615385;11.30769231;2.153846154;13.23076923;16.38461538;11.46153846;18.53846154;5.615384615;1.153846154;8.923076923;17.38461538;12.92307692;21.38461538;2.846153846;9.538461538;11.15384615;9.923076923;15.53846154
KRAWC;3.230769231;1;5.076923077;9.307692308;7.153846154;16.07692308;4.769230769;1.307692308;6.615384615;9.923076923;7;12.92307692;4;1.076923077;7.538461538;11.07692308;9;17;1.230769231;5.692307692;7.461538462;6.230769231;13.07692308
L1L0;6.769230769;1.230769231;9.076923077;17.76923077;13.61538462;24.61538462;13.15384615;1.538461538;15.30769231;17.38461538;13.76923077;21.07692308;6.384615385;1.076923077;10.38461538;19.92307692;14.84615385;24.07692308;1;9.230769231;14.46153846;10.92307692;17.15384615
PRCPT;2.692307692;1.076923077;5.384615385;16.84615385;11.92307692;22.84615385;4.153846154;1.538461538;8.769230769;14.07692308;11.76923077;18.61538462;3;1.461538462;5.230769231;16.07692308;11.23076923;20.15384615;1.076923077;6.384615385;11.38461538;7.923076923;18.76923077
RNHRD;3.615384615;1.307692308;5.692307692;11.38461538;9.076923077;20;7;1.461538462;8.076923077;10.07692308;10;15.46153846;5.153846154;1.230769231;6.384615385;14.53846154;9.538461538;19.23076923;1.461538462;5.923076923;6.692307692;8.692307692;13.84615385
TIE;3.153846154;1.076923077;5.769230769;15.46153846;12.61538462;20.61538462;6.230769231;1.076923077;8.846153846;15.23076923;12.07692308;18.46153846;3.461538462;1.076923077;4.692307692;15.30769231;10.76923077;19.30769231;1.076923077;5.230769231;11.30769231;8.538461538;16
